STATION,NAME,DATE,PRCP,TMAX,TMIN
USC00411395,"CAMP VERDE, TX US",02-03-00,0,,
USC00411395,"CAMP VERDE, TX US",02-04-00,0,,
USC00411395,"CAMP VERDE, TX US",02-05-00,0,,
USC00411395,"CAMP VERDE, TX US",02-06-00,0,,
USC00411395,"CAMP VERDE, TX US",02-07-00,0,,
USC00411395,"CAMP VERDE, TX US",02-08-00,0,,
USC00411395,"CAMP VERDE, TX US",02-09-00,0,,
USC00411395,"CAMP VERDE, TX US",02-10-00,0,,
USC00411395,"CAMP VERDE, TX US",02-11-00,0,,
USC00411395,"CAMP VERDE, TX US",02-12-00,0,,
USC00411395,"CAMP VERDE, TX US",02-13-00,0,,
USC00411395,"CAMP VERDE, TX US",02-14-00,0,,
USC00411395,"CAMP VERDE, TX US",02-15-00,0,,
USC00411395,"CAMP VERDE, TX US",02-16-00,0,,
USC00411395,"CAMP VERDE, TX US",02-17-00,0,,
USC00411395,"CAMP VERDE, TX US",02-18-00,0,,
USC00411395,"CAMP VERDE, TX US",02-19-00,0,,
USC00411395,"CAMP VERDE, TX US",02-20-00,0,,
USC00411395,"CAMP VERDE, TX US",02-21-00,0,,
USC00411395,"CAMP VERDE, TX US",02-22-00,0.39,,
USC00411395,"CAMP VERDE, TX US",02-23-00,0,,
USC00411395,"CAMP VERDE, TX US",02-24-00,0,,
USC00411395,"CAMP VERDE, TX US",02-25-00,0,,
USC00411395,"CAMP VERDE, TX US",02-26-00,0.15,,
USC00411395,"CAMP VERDE, TX US",02-27-00,0,,
USC00411395,"CAMP VERDE, TX US",02-28-00,0,,
USC00411395,"CAMP VERDE, TX US",02-29-00,0,,
USC00411395,"CAMP VERDE, TX US",03-01-00,0,,
USC00411395,"CAMP VERDE, TX US",03-02-00,0,,
USC00411395,"CAMP VERDE, TX US",03-03-00,0,,
USC00411395,"CAMP VERDE, TX US",03-04-00,0,,
USC00411395,"CAMP VERDE, TX US",03-05-00,0,,
USC00411395,"CAMP VERDE, TX US",03-06-00,0,,
USC00411395,"CAMP VERDE, TX US",03-07-00,0,,
USC00411395,"CAMP VERDE, TX US",03-08-00,0,,
USC00411395,"CAMP VERDE, TX US",03-09-00,0,,
USC00411395,"CAMP VERDE, TX US",03-10-00,0,,
USC00411395,"CAMP VERDE, TX US",03-11-00,0,,
USC00411395,"CAMP VERDE, TX US",03-12-00,0,,
USC00411395,"CAMP VERDE, TX US",03-13-00,0,,
USC00411395,"CAMP VERDE, TX US",03-14-00,0,,
USC00411395,"CAMP VERDE, TX US",03-15-00,0,,
USC00411395,"CAMP VERDE, TX US",03-16-00,0,,
USC00411395,"CAMP VERDE, TX US",03-17-00,0.3,,
USC00411395,"CAMP VERDE, TX US",03-18-00,0,,
USC00411395,"CAMP VERDE, TX US",03-19-00,0,,
USC00411395,"CAMP VERDE, TX US",03-20-00,0,,
USC00411395,"CAMP VERDE, TX US",03-21-00,0,,
USC00411395,"CAMP VERDE, TX US",03-22-00,0,,
USC00411395,"CAMP VERDE, TX US",03-23-00,0.84,,
USC00411395,"CAMP VERDE, TX US",03-24-00,0,,
USC00411395,"CAMP VERDE, TX US",03-25-00,0,,
USC00411395,"CAMP VERDE, TX US",03-26-00,0,,
USC00411395,"CAMP VERDE, TX US",03-27-00,0,,
USC00411395,"CAMP VERDE, TX US",03-28-00,0,,
USC00411395,"CAMP VERDE, TX US",03-29-00,0,,
USC00411395,"CAMP VERDE, TX US",03-30-00,0,,
USC00411395,"CAMP VERDE, TX US",03-31-00,0,,
USC00411395,"CAMP VERDE, TX US",04-01-00,0.26,,
USC00411395,"CAMP VERDE, TX US",04-02-00,0,,
USC00411395,"CAMP VERDE, TX US",04-03-00,0,,
USC00411395,"CAMP VERDE, TX US",04-04-00,0,,
USC00411395,"CAMP VERDE, TX US",04-05-00,0,,
USC00411395,"CAMP VERDE, TX US",04-06-00,0,,
USC00411395,"CAMP VERDE, TX US",04-07-00,0,,
USC00411395,"CAMP VERDE, TX US",04-08-00,0,,
USC00411395,"CAMP VERDE, TX US",04-09-00,0,,
USC00411395,"CAMP VERDE, TX US",04-10-00,0,,
USC00411395,"CAMP VERDE, TX US",04-11-00,0,,
USC00411395,"CAMP VERDE, TX US",04-12-00,0.92,,
USC00411395,"CAMP VERDE, TX US",04-13-00,0.03,,
USC00411395,"CAMP VERDE, TX US",04-14-00,0,,
USC00411395,"CAMP VERDE, TX US",04-15-00,0,,
USC00411395,"CAMP VERDE, TX US",04-16-00,0,,
USC00411395,"CAMP VERDE, TX US",04-17-00,0,,
USC00411395,"CAMP VERDE, TX US",04-18-00,0,,
USC00411395,"CAMP VERDE, TX US",04-19-00,0,,
USC00411395,"CAMP VERDE, TX US",04-20-00,0,,
USC00411395,"CAMP VERDE, TX US",04-21-00,0,,
USC00411395,"CAMP VERDE, TX US",04-22-00,0,,
USC00411395,"CAMP VERDE, TX US",04-23-00,0,,
USC00411395,"CAMP VERDE, TX US",04-24-00,0,,
USC00411395,"CAMP VERDE, TX US",04-25-00,0,,
USC00411395,"CAMP VERDE, TX US",04-26-00,0,,
USC00411395,"CAMP VERDE, TX US",04-27-00,0,,
USC00411395,"CAMP VERDE, TX US",04-28-00,0,,
USC00411395,"CAMP VERDE, TX US",04-29-00,0,,
USC00411395,"CAMP VERDE, TX US",04-30-00,0,,
USC00411395,"CAMP VERDE, TX US",05-01-00,0.64,,
USC00411395,"CAMP VERDE, TX US",05-02-00,0.55,,
USC00411395,"CAMP VERDE, TX US",05-03-00,0,,
USC00411395,"CAMP VERDE, TX US",05-04-00,0,,
USC00411395,"CAMP VERDE, TX US",05-05-00,0,,
USC00411395,"CAMP VERDE, TX US",05-06-00,0,,
USC00411395,"CAMP VERDE, TX US",05-07-00,0,,
USC00411395,"CAMP VERDE, TX US",05-08-00,0,,
USC00411395,"CAMP VERDE, TX US",05-09-00,0,,
USC00411395,"CAMP VERDE, TX US",05-10-00,0,,
USC00411395,"CAMP VERDE, TX US",05-11-00,0,,
USC00411395,"CAMP VERDE, TX US",05-12-00,0,,
USC00411395,"CAMP VERDE, TX US",05-13-00,0.02,,
USC00411395,"CAMP VERDE, TX US",05-14-00,0,,
USC00411395,"CAMP VERDE, TX US",05-15-00,0,,
USC00411395,"CAMP VERDE, TX US",05-16-00,0,,
USC00411395,"CAMP VERDE, TX US",05-17-00,0,,
USC00411395,"CAMP VERDE, TX US",05-18-00,0,,
USC00411395,"CAMP VERDE, TX US",05-19-00,0,,
USC00411395,"CAMP VERDE, TX US",05-20-00,1.35,,
USC00411395,"CAMP VERDE, TX US",05-21-00,0,,
USC00411395,"CAMP VERDE, TX US",05-22-00,0,,
USC00411395,"CAMP VERDE, TX US",05-23-00,0,,
USC00411395,"CAMP VERDE, TX US",05-24-00,0,,
USC00411395,"CAMP VERDE, TX US",05-25-00,0,,
USC00411395,"CAMP VERDE, TX US",05-26-00,0,,
USC00411395,"CAMP VERDE, TX US",05-27-00,0.2,,
USC00411395,"CAMP VERDE, TX US",05-28-00,0.84,,
USC00411395,"CAMP VERDE, TX US",05-29-00,0,,
USC00411395,"CAMP VERDE, TX US",05-30-00,0,,
USC00411395,"CAMP VERDE, TX US",05-31-00,0,,
USC00411395,"CAMP VERDE, TX US",06-01-00,0,,
USC00411395,"CAMP VERDE, TX US",06-02-00,0,,
USC00411395,"CAMP VERDE, TX US",06-03-00,0.83,,
USC00411395,"CAMP VERDE, TX US",06-04-00,0.8,,
USC00411395,"CAMP VERDE, TX US",06-05-00,0,,
USC00411395,"CAMP VERDE, TX US",06-06-00,0,,
USC00411395,"CAMP VERDE, TX US",06-07-00,0,,
USC00411395,"CAMP VERDE, TX US",06-08-00,0,,
USC00411395,"CAMP VERDE, TX US",06-09-00,0,,
USC00411395,"CAMP VERDE, TX US",06-10-00,1.1,,
USC00411395,"CAMP VERDE, TX US",06-11-00,1.38,,
USC00411395,"CAMP VERDE, TX US",06-12-00,0.43,,
USC00411395,"CAMP VERDE, TX US",06-13-00,0.52,,
USC00411395,"CAMP VERDE, TX US",06-14-00,0.08,,
USC00411395,"CAMP VERDE, TX US",06-15-00,0.01,,
USC00411395,"CAMP VERDE, TX US",06-16-00,0,,
USC00411395,"CAMP VERDE, TX US",06-17-00,0,,
USC00411395,"CAMP VERDE, TX US",06-18-00,0.8,,
USC00411395,"CAMP VERDE, TX US",06-19-00,0.39,,
USC00411395,"CAMP VERDE, TX US",06-20-00,0,,
USC00411395,"CAMP VERDE, TX US",06-21-00,0,,
USC00411395,"CAMP VERDE, TX US",06-22-00,0,,
USC00411395,"CAMP VERDE, TX US",06-23-00,0,,
USC00411395,"CAMP VERDE, TX US",06-24-00,0,,
USC00411395,"CAMP VERDE, TX US",06-25-00,0,,
USC00411395,"CAMP VERDE, TX US",06-26-00,0,,
USC00411395,"CAMP VERDE, TX US",06-27-00,0,,
USC00411395,"CAMP VERDE, TX US",06-28-00,0,,
USC00411395,"CAMP VERDE, TX US",06-29-00,0,,
USC00411395,"CAMP VERDE, TX US",06-30-00,0,,
USC00411395,"CAMP VERDE, TX US",07-01-00,0,,
USC00411395,"CAMP VERDE, TX US",07-02-00,0,,
USC00411395,"CAMP VERDE, TX US",07-03-00,0,,
USC00411395,"CAMP VERDE, TX US",07-04-00,0,,
USC00411395,"CAMP VERDE, TX US",07-05-00,0,,
USC00411395,"CAMP VERDE, TX US",07-06-00,0,,
USC00411395,"CAMP VERDE, TX US",07-07-00,0,,
USC00411395,"CAMP VERDE, TX US",07-08-00,0,,
USC00411395,"CAMP VERDE, TX US",07-09-00,0,,
USC00411395,"CAMP VERDE, TX US",07-10-00,0,,
USC00411395,"CAMP VERDE, TX US",07-11-00,0,,
USC00411395,"CAMP VERDE, TX US",07-12-00,0,,
USC00411395,"CAMP VERDE, TX US",07-13-00,0,,
USC00411395,"CAMP VERDE, TX US",07-14-00,0,,
USC00411395,"CAMP VERDE, TX US",07-15-00,0,,
USC00411395,"CAMP VERDE, TX US",07-16-00,0,,
USC00411395,"CAMP VERDE, TX US",07-17-00,0,,
USC00411395,"CAMP VERDE, TX US",07-18-00,0,,
USC00411395,"CAMP VERDE, TX US",07-19-00,0,,
USC00411395,"CAMP VERDE, TX US",07-20-00,0,,
USC00411395,"CAMP VERDE, TX US",07-21-00,0,,
USC00411395,"CAMP VERDE, TX US",07-22-00,0,,
USC00411395,"CAMP VERDE, TX US",07-23-00,0,,
USC00411395,"CAMP VERDE, TX US",07-24-00,0,,
USC00411395,"CAMP VERDE, TX US",07-25-00,0,,
USC00411395,"CAMP VERDE, TX US",07-26-00,0,,
USC00411395,"CAMP VERDE, TX US",07-27-00,0,,
USC00411395,"CAMP VERDE, TX US",07-28-00,0,,
USC00411395,"CAMP VERDE, TX US",07-29-00,0,,
USC00411395,"CAMP VERDE, TX US",07-30-00,0,,
USC00411395,"CAMP VERDE, TX US",07-31-00,0,,
USC00411395,"CAMP VERDE, TX US",08-01-00,0.64,,
USC00411395,"CAMP VERDE, TX US",08-02-00,0.47,,
USC00411395,"CAMP VERDE, TX US",08-03-00,0,,
USC00411395,"CAMP VERDE, TX US",08-04-00,0,,
USC00411395,"CAMP VERDE, TX US",08-05-00,0,,
USC00411395,"CAMP VERDE, TX US",08-06-00,0,,
USC00411395,"CAMP VERDE, TX US",08-07-00,0,,
USC00411395,"CAMP VERDE, TX US",08-08-00,0,,
USC00411395,"CAMP VERDE, TX US",08-09-00,0,,
USC00411395,"CAMP VERDE, TX US",08-10-00,0,,
USC00411395,"CAMP VERDE, TX US",08-11-00,0,,
USC00411395,"CAMP VERDE, TX US",08-12-00,0,,
USC00411395,"CAMP VERDE, TX US",08-13-00,0,,
USC00411395,"CAMP VERDE, TX US",08-14-00,0,,
USC00411395,"CAMP VERDE, TX US",08-15-00,0,,
USC00411395,"CAMP VERDE, TX US",08-16-00,0,,
USC00411395,"CAMP VERDE, TX US",08-17-00,0,,
USC00411395,"CAMP VERDE, TX US",08-18-00,0,,
USC00411395,"CAMP VERDE, TX US",08-19-00,0,,
USC00411395,"CAMP VERDE, TX US",08-20-00,0,,
USC00411395,"CAMP VERDE, TX US",08-21-00,0,,
USC00411395,"CAMP VERDE, TX US",08-22-00,0,,
USC00411395,"CAMP VERDE, TX US",08-23-00,0,,
USC00411395,"CAMP VERDE, TX US",08-24-00,0,,
USC00411395,"CAMP VERDE, TX US",08-25-00,0,,
USC00411395,"CAMP VERDE, TX US",08-26-00,0,,
USC00411395,"CAMP VERDE, TX US",08-27-00,0,,
USC00411395,"CAMP VERDE, TX US",08-28-00,0,,
USC00411395,"CAMP VERDE, TX US",08-29-00,0,,
USC00411395,"CAMP VERDE, TX US",08-30-00,0,,
USC00411395,"CAMP VERDE, TX US",08-31-00,0,,
USC00411395,"CAMP VERDE, TX US",09-01-00,0,,
USC00411395,"CAMP VERDE, TX US",09-02-00,0,,
USC00411395,"CAMP VERDE, TX US",09-03-00,0,,
USC00411395,"CAMP VERDE, TX US",09-04-00,0,,
USC00411395,"CAMP VERDE, TX US",09-05-00,0,,
USC00411395,"CAMP VERDE, TX US",09-06-00,0,,
USC00411395,"CAMP VERDE, TX US",09-07-00,0,,
USC00411395,"CAMP VERDE, TX US",09-08-00,0,,
USC00411395,"CAMP VERDE, TX US",09-09-00,0,,
USC00411395,"CAMP VERDE, TX US",09-10-00,0,,
USC00411395,"CAMP VERDE, TX US",09-11-00,0,,
USC00411395,"CAMP VERDE, TX US",09-12-00,0,,
USC00411395,"CAMP VERDE, TX US",09-13-00,0.81,,
USC00411395,"CAMP VERDE, TX US",09-14-00,0,,
USC00411395,"CAMP VERDE, TX US",09-15-00,0.3,,
USC00411395,"CAMP VERDE, TX US",09-16-00,0,,
USC00411395,"CAMP VERDE, TX US",09-17-00,0,,
USC00411395,"CAMP VERDE, TX US",09-18-00,0,,
USC00411395,"CAMP VERDE, TX US",09-19-00,0,,
USC00411395,"CAMP VERDE, TX US",09-20-00,0,,
USC00411395,"CAMP VERDE, TX US",09-21-00,0,,
USC00411395,"CAMP VERDE, TX US",09-22-00,0,,
USC00411395,"CAMP VERDE, TX US",09-23-00,0,,
USC00411395,"CAMP VERDE, TX US",09-24-00,0,,
USC00411395,"CAMP VERDE, TX US",09-25-00,1.5,,
USC00411395,"CAMP VERDE, TX US",09-26-00,0,,
USC00411395,"CAMP VERDE, TX US",09-27-00,0,,
USC00411395,"CAMP VERDE, TX US",09-28-00,0,,
USC00411395,"CAMP VERDE, TX US",09-29-00,0,,
USC00411395,"CAMP VERDE, TX US",09-30-00,0,,
USC00411395,"CAMP VERDE, TX US",10-01-00,0,,
USC00411395,"CAMP VERDE, TX US",10-02-00,0,,
USC00411395,"CAMP VERDE, TX US",10-03-00,0,,
USC00411395,"CAMP VERDE, TX US",10-04-00,0,,
USC00411395,"CAMP VERDE, TX US",10-05-00,0,,
USC00411395,"CAMP VERDE, TX US",10-06-00,0,,
USC00411395,"CAMP VERDE, TX US",10-07-00,0,,
USC00411395,"CAMP VERDE, TX US",10-08-00,1.7,,
USC00411395,"CAMP VERDE, TX US",10-09-00,1.3,,
USC00411395,"CAMP VERDE, TX US",10-10-00,0,,
USC00411395,"CAMP VERDE, TX US",10-11-00,0,,
USC00411395,"CAMP VERDE, TX US",10-12-00,0,,
USC00411395,"CAMP VERDE, TX US",10-13-00,0,,
USC00411395,"CAMP VERDE, TX US",10-14-00,0,,
USC00411395,"CAMP VERDE, TX US",10-15-00,0,,
USC00411395,"CAMP VERDE, TX US",10-16-00,0,,
USC00411395,"CAMP VERDE, TX US",10-17-00,0,,
USC00411395,"CAMP VERDE, TX US",10-18-00,1.15,,
USC00411395,"CAMP VERDE, TX US",10-19-00,0,,
USC00411395,"CAMP VERDE, TX US",10-20-00,0,,
USC00411395,"CAMP VERDE, TX US",10-21-00,0,,
USC00411395,"CAMP VERDE, TX US",10-22-00,1,,
USC00411395,"CAMP VERDE, TX US",10-23-00,2.4,,
USC00411395,"CAMP VERDE, TX US",10-24-00,1.4,,
USC00411395,"CAMP VERDE, TX US",10-25-00,0,,
USC00411395,"CAMP VERDE, TX US",10-26-00,0,,
USC00411395,"CAMP VERDE, TX US",10-27-00,0,,
USC00411395,"CAMP VERDE, TX US",10-28-00,0,,
USC00411395,"CAMP VERDE, TX US",10-29-00,0,,
USC00411395,"CAMP VERDE, TX US",10-30-00,0,,
USC00411395,"CAMP VERDE, TX US",10-31-00,0,,
USC00411395,"CAMP VERDE, TX US",11-01-00,0.25,,
USC00411395,"CAMP VERDE, TX US",11-02-00,3.4,,
USC00411395,"CAMP VERDE, TX US",11-03-00,1.08,,
USC00411395,"CAMP VERDE, TX US",11-04-00,0,,
USC00411395,"CAMP VERDE, TX US",11-05-00,3,,
USC00411395,"CAMP VERDE, TX US",11-06-00,0,,
USC00411395,"CAMP VERDE, TX US",11-07-00,0.9,,
USC00411395,"CAMP VERDE, TX US",11-08-00,0,,
USC00411395,"CAMP VERDE, TX US",11-09-00,0,,
USC00411395,"CAMP VERDE, TX US",11-10-00,0,,
USC00411395,"CAMP VERDE, TX US",11-11-00,0,,
USC00411395,"CAMP VERDE, TX US",11-12-00,0,,
USC00411395,"CAMP VERDE, TX US",11-13-00,0,,
USC00411395,"CAMP VERDE, TX US",11-14-00,0,,
USC00411395,"CAMP VERDE, TX US",11-15-00,0,,
USC00411395,"CAMP VERDE, TX US",11-16-00,0.2,,
USC00411395,"CAMP VERDE, TX US",11-17-00,0,,
USC00411395,"CAMP VERDE, TX US",11-18-00,0.55,,
USC00411395,"CAMP VERDE, TX US",11-19-00,1.49,,
USC00411395,"CAMP VERDE, TX US",11-20-00,0,,
USC00411395,"CAMP VERDE, TX US",11-21-00,0,,
USC00411395,"CAMP VERDE, TX US",11-22-00,0,,
USC00411395,"CAMP VERDE, TX US",11-23-00,0.2,,
USC00411395,"CAMP VERDE, TX US",11-24-00,0.16,,
USC00411395,"CAMP VERDE, TX US",11-25-00,0,,
USC00411395,"CAMP VERDE, TX US",11-26-00,0,,
USC00411395,"CAMP VERDE, TX US",11-27-00,0,,
USC00411395,"CAMP VERDE, TX US",11-28-00,0,,
USC00411395,"CAMP VERDE, TX US",11-29-00,0,,
USC00411395,"CAMP VERDE, TX US",11-30-00,0,,
USC00411395,"CAMP VERDE, TX US",12-01-00,0,,
USC00411395,"CAMP VERDE, TX US",12-02-00,0,,
USC00411395,"CAMP VERDE, TX US",12-03-00,0,,
USC00411395,"CAMP VERDE, TX US",12-04-00,0.49,,
USC00411395,"CAMP VERDE, TX US",12-05-00,0,,
USC00411395,"CAMP VERDE, TX US",12-06-00,0,,
USC00411395,"CAMP VERDE, TX US",12-07-00,0,,
USC00411395,"CAMP VERDE, TX US",12-08-00,0,,
USC00411395,"CAMP VERDE, TX US",12-09-00,0,,
USC00411395,"CAMP VERDE, TX US",12-10-00,0,,
USC00411395,"CAMP VERDE, TX US",12-11-00,0,,
USC00411395,"CAMP VERDE, TX US",12-12-00,0,,
USC00411395,"CAMP VERDE, TX US",12-13-00,0,,
USC00411395,"CAMP VERDE, TX US",12-14-00,0,,
USC00411395,"CAMP VERDE, TX US",12-15-00,0,,
USC00411395,"CAMP VERDE, TX US",12-16-00,0,,
USC00411395,"CAMP VERDE, TX US",12-17-00,0,,
USC00411395,"CAMP VERDE, TX US",12-18-00,0,,
USC00411395,"CAMP VERDE, TX US",12-19-00,0,,
USC00411395,"CAMP VERDE, TX US",12-20-00,0,,
USC00411395,"CAMP VERDE, TX US",12-21-00,0,,
USC00411395,"CAMP VERDE, TX US",12-22-00,1.75,,
USC00411395,"CAMP VERDE, TX US",12-23-00,0,,
USC00411395,"CAMP VERDE, TX US",12-24-00,0,,
USC00411395,"CAMP VERDE, TX US",12-25-00,0,,
USC00411395,"CAMP VERDE, TX US",12-26-00,0,,
USC00411395,"CAMP VERDE, TX US",12-27-00,0,,
USC00411395,"CAMP VERDE, TX US",12-28-00,0,,
USC00411395,"CAMP VERDE, TX US",12-29-00,0,,
USC00411395,"CAMP VERDE, TX US",12-30-00,0,,
USC00411395,"CAMP VERDE, TX US",12-31-00,0,,
USC00411395,"CAMP VERDE, TX US",01-01-01,0,,
USC00411395,"CAMP VERDE, TX US",01-02-01,0,,
USC00411395,"CAMP VERDE, TX US",01-03-01,0,,
USC00411395,"CAMP VERDE, TX US",01-04-01,0,,
USC00411395,"CAMP VERDE, TX US",01-05-01,0,,
USC00411395,"CAMP VERDE, TX US",01-06-01,0,,
USC00411395,"CAMP VERDE, TX US",01-07-01,0,,
USC00411395,"CAMP VERDE, TX US",01-08-01,0,,
USC00411395,"CAMP VERDE, TX US",01-09-01,0,,
USC00411395,"CAMP VERDE, TX US",01-10-01,0,,
USC00411395,"CAMP VERDE, TX US",01-11-01,2,,
USC00411395,"CAMP VERDE, TX US",01-12-01,1.09,,
USC00411395,"CAMP VERDE, TX US",01-13-01,0.03,,
USC00411395,"CAMP VERDE, TX US",01-14-01,0,,
USC00411395,"CAMP VERDE, TX US",01-15-01,0,,
USC00411395,"CAMP VERDE, TX US",01-16-01,0,,
USC00411395,"CAMP VERDE, TX US",01-17-01,0.75,,
USC00411395,"CAMP VERDE, TX US",01-18-01,0,,
USC00411395,"CAMP VERDE, TX US",01-19-01,0,,
USC00411395,"CAMP VERDE, TX US",01-20-01,0,,
USC00411395,"CAMP VERDE, TX US",01-21-01,0,,
USC00411395,"CAMP VERDE, TX US",01-22-01,0,,
USC00411395,"CAMP VERDE, TX US",01-23-01,0,,
USC00411395,"CAMP VERDE, TX US",01-24-01,0,,
USC00411395,"CAMP VERDE, TX US",01-25-01,0,,
USC00411395,"CAMP VERDE, TX US",01-26-01,0,,
USC00411395,"CAMP VERDE, TX US",01-27-01,1.4,,
USC00411395,"CAMP VERDE, TX US",01-28-01,0,,
USC00411395,"CAMP VERDE, TX US",01-29-01,0,,
USC00411395,"CAMP VERDE, TX US",01-30-01,0,,
USC00411395,"CAMP VERDE, TX US",01-31-01,0,,
USC00411395,"CAMP VERDE, TX US",02-01-01,0,,
USC00411395,"CAMP VERDE, TX US",02-02-01,0,,
USC00411395,"CAMP VERDE, TX US",02-03-01,0,,
USC00411395,"CAMP VERDE, TX US",02-04-01,0,,
USC00411395,"CAMP VERDE, TX US",02-05-01,0,,
USC00411395,"CAMP VERDE, TX US",02-06-01,0,,
USC00411395,"CAMP VERDE, TX US",02-07-01,0,,
USC00411395,"CAMP VERDE, TX US",02-08-01,0,,
USC00411395,"CAMP VERDE, TX US",02-09-01,0,,
USC00411395,"CAMP VERDE, TX US",02-10-01,0,,
USC00411395,"CAMP VERDE, TX US",02-11-01,0,,
USC00411395,"CAMP VERDE, TX US",02-12-01,0,,
USC00411395,"CAMP VERDE, TX US",02-13-01,0.4,,
USC00411395,"CAMP VERDE, TX US",02-14-01,0,,
USC00411395,"CAMP VERDE, TX US",02-15-01,0,,
USC00411395,"CAMP VERDE, TX US",02-16-01,1.3,,
USC00411395,"CAMP VERDE, TX US",02-17-01,0,,
USC00411395,"CAMP VERDE, TX US",02-18-01,0,,
USC00411395,"CAMP VERDE, TX US",02-19-01,0,,
USC00411395,"CAMP VERDE, TX US",02-20-01,0,,
USC00411395,"CAMP VERDE, TX US",02-21-01,0,,
USC00411395,"CAMP VERDE, TX US",02-22-01,0,,
USC00411395,"CAMP VERDE, TX US",02-23-01,0,,
USC00411395,"CAMP VERDE, TX US",02-24-01,0.2,,
USC00411395,"CAMP VERDE, TX US",02-25-01,0,,
USC00411395,"CAMP VERDE, TX US",02-26-01,0,,
USC00411395,"CAMP VERDE, TX US",02-27-01,0,,
USC00411395,"CAMP VERDE, TX US",02-28-01,0,,
USC00411395,"CAMP VERDE, TX US",03-01-01,0.02,,
USC00411395,"CAMP VERDE, TX US",03-02-01,0.01,,
USC00411395,"CAMP VERDE, TX US",03-03-01,0.7,,
USC00411395,"CAMP VERDE, TX US",03-04-01,0,,
USC00411395,"CAMP VERDE, TX US",03-05-01,0,,
USC00411395,"CAMP VERDE, TX US",03-06-01,0,,
USC00411395,"CAMP VERDE, TX US",03-07-01,0,,
USC00411395,"CAMP VERDE, TX US",03-08-01,0.28,,
USC00411395,"CAMP VERDE, TX US",03-09-01,0.02,,
USC00411395,"CAMP VERDE, TX US",03-10-01,0,,
USC00411395,"CAMP VERDE, TX US",03-11-01,0,,
USC00411395,"CAMP VERDE, TX US",03-12-01,1.2,,
USC00411395,"CAMP VERDE, TX US",03-13-01,0,,
USC00411395,"CAMP VERDE, TX US",03-14-01,0.38,,
USC00411395,"CAMP VERDE, TX US",03-15-01,0,,
USC00411395,"CAMP VERDE, TX US",03-16-01,0,,
USC00411395,"CAMP VERDE, TX US",03-17-01,0,,
USC00411395,"CAMP VERDE, TX US",03-18-01,0,,
USC00411395,"CAMP VERDE, TX US",03-19-01,0.3,,
USC00411395,"CAMP VERDE, TX US",03-20-01,0,,
USC00411395,"CAMP VERDE, TX US",03-21-01,0,,
USC00411395,"CAMP VERDE, TX US",03-22-01,0,,
USC00411395,"CAMP VERDE, TX US",03-23-01,0,,
USC00411395,"CAMP VERDE, TX US",03-24-01,0,,
USC00411395,"CAMP VERDE, TX US",03-25-01,0,,
USC00411395,"CAMP VERDE, TX US",03-26-01,0,,
USC00411395,"CAMP VERDE, TX US",03-27-01,0.5,,
USC00411395,"CAMP VERDE, TX US",03-28-01,0,,
USC00411395,"CAMP VERDE, TX US",03-29-01,0,,
USC00411395,"CAMP VERDE, TX US",03-30-01,0,,
USC00411395,"CAMP VERDE, TX US",03-31-01,0,,
USC00411395,"CAMP VERDE, TX US",04-01-01,0,,
USC00411395,"CAMP VERDE, TX US",04-02-01,0,,
USC00411395,"CAMP VERDE, TX US",04-03-01,0,,
USC00411395,"CAMP VERDE, TX US",04-04-01,0,,
